user,movie
4169,148
5333,148
4387,148
840,148
752,148
970,463
4169,463
721,463
1962,463
934,463
1088,471
4186,471
796,471
1500,471
4958,471
1243,471
743,471
2168,471
5333,471
2127,471
1505,471
1425,471
1491,471
3648,471
1952,471
1242,471
839,471
2880,471
692,471
2627,471
1530,471
3285,471
4478,471
5874,471
2841,471
3401,471
4809,471
2926,471
1211,471
1698,471
2271,471
721,471
1386,471
698,471
5938,471
981,471
2436,471
2333,471
3821,471
3430,471
5172,471
1447,471
3462,471
1897,471
2453,471
1079,471
752,471
1383,471
1842,471
1228,471
1448,471
1983,471
1202,471
3312,471
1584,471
2282,471
4602,471
934,471
5565,471
4607,471
1291,496
1952,496
3080,496
1635,496
1698,496
5394,496
864,496
4169,833
2015,833
3792,833
2168,833
1425,833
1516,833
770,833
1779,833
2077,833
1647,833
1447,833
2116,833
5394,833
1088,1088
5156,1088
3475,1088
4186,1088
4126,1088
1561,1088
4517,1088
5447,1088
1752,1088
1889,1088
1875,1088
3679,1088
2127,1088
727,1088
855,1088
5787,1088
1505,1088
2638,1088
1266,1088
777,1088
4312,1088
5539,1088
5001,1088
692,1088
5492,1088
2232,1088
1029,1088
1930,1088
5488,1088
2909,1088
2810,1088
2847,1088
1194,1088
3401,1088
1164,1088
4940,1088
721,1088
2832,1088
1998,1088
2188,1088
2077,1088
5063,1088
869,1088
1724,1088
2350,1088
1611,1088
3014,1088
1447,1088
3462,1088
5996,1088
1421,1088
3842,1088
1912,1088
2453,1088
2125,1088
2116,1088
5723,1088
678,1088
3507,1088
752,1088
5458,1088
1579,1088
1383,1088
639,1088
1268,1088
5394,1088
1448,1088
1958,1088
5277,1088
5205,1088
5734,1088
1092,1088
6016,1088
3768,1088
3363,1088
1776,1088
1117,1088
4467,1088
5636,1088
2376,1088
5157,1238
4418,1238
1274,1238
2962,1238
973,1238
2407,1238
5787,1238
1505,1238
935,1238
1266,1238
1590,1238
2781,1238
5761,1238
1952,1238
1242,1238
1002,1238
1181,1238
4448,1238
4940,1238
2436,1238
2832,1238
691,1238
5172,1238
1897,1238
3391,1238
2868,1238
1547,1238
4802,1238
3367,1238
5991,1238
5019,1238
4467,1238
1088,1342
4169,1342
1051,1342
2962,1342
1889,1342
855,1342
1266,1342
2796,1342
3648,1342
1516,1342
676,1342
1733,1342
2847,1342
5397,1342
1969,1342
721,1342
1451,1342
1643,1342
1737,1342
2129,1342
1611,1342
710,1342
712,1342
1579,1342
1448,1342
5878,1342
4085,1342
1776,1342
3055,1342
3475,1580
4294,1580
970,1580
4477,1580
918,1580
1165,1580
